factors,FactorDirection,factorrange,description,
PLACES_VISITED,increasing,long,the number of new places you visit by,
ACHIEVEMENT,increasing,long,your personal achievements by ,
LIVE_VISION,increasing,long,how many years ahead you have planned for by,
PERSONAL_AWARDS,increasing,long,your personal recogonitions by ,
CORE_CIRCLE,increasing,long,your circle of people you are very close to by,
SUFFICIENT_INCOME,increasing,long,your income or reducing your expences,
DONATION,increasing,long,the number of times you donate your time and/or money per year by,
BMI_RANGE,reducing,long,your weight in a healty way,
LOST_VACATION,reducing,long,the number of lost vacation days by,
FRUITS_VEGGIES,increasing,short,your daily intake of fruits and vegetables by,
SUPPORTING_OTHERS,increasing,short,the number of people you help and mentor in a year by,
SOCIAL_NETWORK,increasing,short,the number of people you interact with daily by,
TODO_COMPLETED,increasing,short,the number of tasks you complete per week by,
FLOW,increasing,short,"the number of hours you enter ""Flow"" per day by",
DAILY_STEPS,increasing,short,your daily steps in thousand steps by ,
SLEEP_HOURS,increasing,short,the number of hours you sleep per day by,
TIME_FOR_PASSION,increasing,short,the number of hours you spend on passion projects per day by,
DAILY_MEDITATION,increasing,short,the number of time you self reflect or meditate per week by,
DAILY_SHOUTING,reducing,short,the number of times you express negative emotions in a unhealthy way per week by,
